constantId,packageIn,methodIn,methodRefClass,methodRef,codeUnit,varName,varClass,varRefClass
2130968627,com.benoitletondor.easybudgetapp.view.MainActivity,onOptionsItemSelected,android.view.LayoutInflater,inflate,$r7 = virtualinvoke $r6.<android.view.LayoutInflater: android.view.View inflate(int,android.view.ViewGroup)>(2130968627, null),,,
2131689657,com.benoitletondor.easybudgetapp.view.MainActivity,onOptionsItemSelected,android.view.View,findViewById,$r8 = virtualinvoke $r7.<android.view.View: android.view.View findViewById(int)>(2131689657),,,
2131230768,com.benoitletondor.easybudgetapp.view.MainActivity,onOptionsItemSelected,android.support.v7.app.AlertDialog$Builder,setTitle,virtualinvoke $r12.<android.support.v7.app.AlertDialog$Builder: android.support.v7.app.AlertDialog$Builder setTitle(int)>(2131230768),,,
2131230766,com.benoitletondor.easybudgetapp.view.MainActivity,onOptionsItemSelected,android.support.v7.app.AlertDialog$Builder,setMessage,virtualinvoke $r12.<android.support.v7.app.AlertDialog$Builder: android.support.v7.app.AlertDialog$Builder setMessage(int)>(2131230766),,,
2131230781,com.benoitletondor.easybudgetapp.view.MainActivity,onOptionsItemSelected,android.support.v7.app.AlertDialog$Builder,setNegativeButton,virtualinvoke $r12.<android.support.v7.app.AlertDialog$Builder: android.support.v7.app.AlertDialog$Builder setNegativeButton(int,android.content.DialogInterface$OnClickListener)>(2131230781, $r13),,,
2131230816,com.benoitletondor.easybudgetapp.view.MainActivity,onOptionsItemSelected,android.support.v7.app.AlertDialog$Builder,setPositiveButton,virtualinvoke $r12.<android.support.v7.app.AlertDialog$Builder: android.support.v7.app.AlertDialog$Builder setPositiveButton(int,android.content.DialogInterface$OnClickListener)>(2131230816, $r14),,,
2131755008,com.benoitletondor.easybudgetapp.view.MainActivity,onCreateOptionsMenu,android.view.MenuInflater,inflate,virtualinvoke $r4.<android.view.MenuInflater: void inflate(int,android.view.Menu)>(2131755008, $r1),,,
2131689713,com.benoitletondor.easybudgetapp.view.MainActivity,onCreateOptionsMenu,android.view.Menu,removeItem,interfaceinvoke $r1.<android.view.Menu: void removeItem(int)>(2131689713),,,
2131689619,com.benoitletondor.easybudgetapp.view.MainActivity,onCreateOptionsMenu,com.benoitletondor.easybudgetapp.view.MainActivity,findViewById,$r6 = virtualinvoke $r0.<com.benoitletondor.easybudgetapp.view.MainActivity: android.view.View findViewById(int)>(2131689619),,,
0,com.benoitletondor.easybudgetapp.view.MainActivity,onCreateOptionsMenu,android.view.View,setVisibility,virtualinvoke $r6.<android.view.View: void setVisibility(int)>(0),,,
2131689620,com.benoitletondor.easybudgetapp.view.MainActivity,onCreateOptionsMenu,com.benoitletondor.easybudgetapp.view.MainActivity,findViewById,$r7 = virtualinvoke $r0.<com.benoitletondor.easybudgetapp.view.MainActivity: android.view.View findViewById(int)>(2131689620),,,
